url,slug,title,category,author_handle,date_text,date_iso
https://www.techi.com/deepmind-coding-research-california-london-cluster/,deepmind-coding-research-california-london-cluster,Google DeepMind's shift to California tests the case for London's AI cluster,AI & Intelligence,zoha,2026-08-19T23:24:43.152Z,2026-08-19
https://www.techi.com/ether-price-first-half-2026/,ether-price-first-half-2026,Reading the Ether Price After a Brutal First Half of 2026,Markets & Equities,qaiser,2026-08-19T17:03:28.994Z,2026-08-19
https://www.techi.com/anthropic-model-2-risk-report-misalignment-estimate/,anthropic-model-2-risk-report-misalignment-estimate,Anthropic’s Model 2 Is Stronger. That Isn’t Why the Risk Label Changed,Policy & Impact,qaiser,2026-08-14T22:43:01.312Z,2026-08-14
https://www.techi.com/intel-15-billion-stock-offering/,intel-15-billion-stock-offering,Intel Just Asked Investors for $15 Billion. The Timing Is the Whole Story,Markets & Equities,omer-sheikh,2026-08-10T18:17:58.730Z,2026-08-10
https://www.techi.com/ai-chip-materials-synthesis-bottleneck/,ai-chip-materials-synthesis-bottleneck,AI agents logged 526 chip-material candidates. One recipe passed the screen,Tech Breakthroughs,fatimah-misbah,2026-08-10T15:41:57.682Z,2026-08-10
https://www.techi.com/kings-cross-ai-talent-cluster-bottleneck/,kings-cross-ai-talent-cluster-bottleneck,King’s Cross reveals AI’s next bottleneck: talent density,AI & Intelligence,zoha,2026-08-10T08:30:31.242Z,2026-08-10
https://www.techi.com/supernatural-vr-fitness-reboot-3000-workouts/,supernatural-vr-fitness-reboot-3000-workouts,"Supernatural’s VR fitness reboot aims to restore 3,000 workouts",Tech Breakthroughs,saba,2026-08-09T19:18:17.030Z,2026-08-09
https://www.techi.com/us-sanctions-shelbit-aban-tether-iran-crypto/,us-sanctions-shelbit-aban-tether-iran-crypto,US sanctions two crypto exchanges over Iran-linked money flows,Crypto & DeFi,fatimah-misbah,2026-08-09T18:17:28.274Z,2026-08-09
https://www.techi.com/ai-camouflage-surveillance-camera-test-proof/,ai-camouflage-surveillance-camera-test-proof,AI camouflage reportedly passed one camera test. Proof is still thin,Tech Breakthroughs,zoha,2026-08-09T17:11:43.535Z,2026-08-09
https://www.techi.com/claude-code-auto-mode-default-11-percent-miss-rate/,claude-code-auto-mode-default-11-percent-miss-rate,Claude Code will default to auto mode despite an 11% test miss rate,Research Tools & Guides,saba,2026-08-09T15:54:35.288Z,2026-08-09
https://www.techi.com/x-original-content-rewards-premium-impressions/,x-original-content-rewards-premium-impressions,X will pay for original posts. Only Premium views count,Policy & Impact,fatimah-misbah,2026-08-09T08:47:50.000Z,2026-08-09
https://www.techi.com/openai-astra-critical-cyber-capability-proof/,openai-astra-critical-cyber-capability-proof,OpenAI's Astra may be 'Critical.' The proof is still private,AI & Intelligence,zoha,2026-08-09T07:47:32.525Z,2026-08-09
https://www.techi.com/firebird-armenia-ai-factory-300mw-roadmap/,firebird-armenia-ai-factory-300mw-roadmap,Firebird's Armenia AI factory is live. The 300 MW promise is not,Tech Breakthroughs,saba,2026-08-09T06:27:53.180Z,2026-08-09
https://www.techi.com/meta-ai-email-calendar-agent-permissions/,meta-ai-email-calendar-agent-permissions,What Meta AI’s Email and Calendar Agent Actually Changes,Research Tools & Guides,zoha,2026-07-27T06:00:41.272Z,2026-07-27
https://www.techi.com/atoms-kalanick-industrial-ai-1-7-billion/,atoms-kalanick-industrial-ai-1-7-billion,"Kalanick's Atoms Raised $1.7B to Own the Machines, Not Sell Them",AI & Intelligence,fatimah-misbah,2026-07-25T22:54:54.618Z,2026-07-25
https://www.techi.com/microsoft-mistral-europe-gpu-compute-supply/,microsoft-mistral-europe-gpu-compute-supply,"Microsoft Is Now Buying Mistral's Compute, Not Selling It",Tech Breakthroughs,saba,2026-07-25T21:57:08.619Z,2026-07-25
https://www.techi.com/korea-sovereign-ai-factory-naver-nvidia-financing/,korea-sovereign-ai-factory-naver-nvidia-financing,Korea's sovereign AI factory is really a $10B financing story,Tech Breakthroughs,fatimah-misbah,2026-07-25T16:57:05.380Z,2026-07-25
https://www.techi.com/alphabet-ai-capex-negative-free-cash-flow/,alphabet-ai-capex-negative-free-cash-flow,Alphabet's Record Profit Hides Its First AI Cash Burn,AI & Intelligence,fatimah-misbah,2026-07-25T14:51:08.725Z,2026-07-25
https://www.techi.com/flux-3-multimodal-image-video-audio-action/,flux-3-multimodal-image-video-audio-action,Black Forest Labs' FLUX 3 Folds Robotics Into One AI Model,AI & Intelligence,fatimah-misbah,2026-07-25T11:46:28.375Z,2026-07-25
https://www.techi.com/ftc-ai-accuracy-deception-state-law/,ftc-ai-accuracy-deception-state-law,The FTC Says Complying With State AI Laws Can Still Be Illegal,Policy & Impact,saba,2026-07-25T10:53:55.952Z,2026-07-25
